site	site_nr	sub_area	area_nr	year	tree_nr	dbh	spots	yield	low_high
Abergelle	18	Abergelle-1	18	2009	121	13.8	6	418.6	highland
Abergelle	18	Abergelle-1	18	2009	122	12.4	6	350.9	highland
Abergelle	18	Abergelle-1	18	2009	123	14.7	6	659.3	highland
Abergelle	18	Abergelle-1	18	2009	124	13.5	6	469.9	highland
Abergelle	18	Abergelle-1	18	2009	125	14.1	6	155.5	highland
Abergelle	18	Abergelle-1	18	2009	131	12.1	9	252.8	highland
Abergelle	18	Abergelle-1	18	2009	132	13.9	9	346	highland
Abergelle	18	Abergelle-1	18	2009	133	14.7	9	583.5	highland
Abergelle	18	Abergelle-1	18	2009	134	13.6	9	241.3	highland
Abergelle	18	Abergelle-1	18	2009	135	13.7	9	319.8	highland
Abergelle	18	Abergelle-1	18	2009	141	13.2	12	400.8	highland
Abergelle	18	Abergelle-1	18	2009	142	12.5	12	230.7	highland
Abergelle	18	Abergelle-1	18	2009	143	13.2	12	505.4	highland
Abergelle	18	Abergelle-1	18	2009	144	12.9	12	450.8	highland
Abergelle	18	Abergelle-1	18	2009	145	12.9	12	377.2	highland
Abergelle	18	Abergelle-1	18	2009	151	12.5	16	305.8	highland
Abergelle	18	Abergelle-1	18	2009	152	12.8	16	356.5	highland
Abergelle	18	Abergelle-1	18	2009	153	14.4	16	139.1	highland
Abergelle	18	Abergelle-1	18	2009	154	13.2	16	226	highland
Abergelle	18	Abergelle-1	18	2009	155	12.8	16	434.9	highland
Abergelle	18	Abergelle-1	18	2009	161	12.5	3	152	highland
Abergelle	18	Abergelle-1	18	2009	162	13	3	308.1	highland
Abergelle	18	Abergelle-1	18	2009	163	14.5	3	370.1	highland
Abergelle	18	Abergelle-1	18	2009	164	14.5	3	214.8	highland
Abergelle	18	Abergelle-1	18	2009	165	12.5	3	244.6	highland
Abergelle	18	Abergelle-1	18	2009	221	17.25	6	938.9	highland
Abergelle	18	Abergelle-1	18	2009	222	18.84	6	713.5	highland
Abergelle	18	Abergelle-1	18	2009	223	17.82	6	512.3	highland
Abergelle	18	Abergelle-1	18	2009	224	18.45	6	551.4	highland
Abergelle	18	Abergelle-1	18	2009	225	18.14	6	377.9	highland
Abergelle	18	Abergelle-1	18	2009	231	18.01	9	623.3	highland
Abergelle	18	Abergelle-1	18	2009	232	16.93	9	633.5	highland
Abergelle	18	Abergelle-1	18	2009	233	17.25	9	675.7	highland
Abergelle	18	Abergelle-1	18	2009	234	17.69	9	644.4	highland
Abergelle	18	Abergelle-1	18	2009	235	16.86	9	269.1	highland
Abergelle	18	Abergelle-1	18	2009	241	16.55	12	432.8	highland
Abergelle	18	Abergelle-1	18	2009	242	18.14	12	588.5	highland
Abergelle	18	Abergelle-1	18	2009	243	17.50	12	1054.3	highland
Abergelle	18	Abergelle-1	18	2009	244	17.12	12	736.7	highland
Abergelle	18	Abergelle-1	18	2009	245	17.25	12	667	highland
Abergelle	18	Abergelle-1	18	2009	251	17.25	16	329.8	highland
Abergelle	18	Abergelle-1	18	2009	252	18.01	16	972.7	highland
Abergelle	18	Abergelle-1	18	2009	253	16.67	16	263.2	highland
Abergelle	18	Abergelle-1	18	2009	254	18.39	16	1071.3	highland
Abergelle	18	Abergelle-1	18	2009	255	18.39	16	1294.7	highland
Abergelle	18	Abergelle-1	18	2009	261	16	3	206.9	highland
Abergelle	18	Abergelle-1	18	2009	262	16	3	90.2	highland
Abergelle	18	Abergelle-1	18	2009	263	18	3	354.1	highland
Abergelle	18	Abergelle-1	18	2009	264	17	3	449	highland
Abergelle	18	Abergelle-1	18	2009	265	17	3	292.1	highland
Abergelle	18	Abergelle-1	18	2009	321	22.53	6	400.4	highland
Abergelle	18	Abergelle-1	18	2009	322	22.15	6	384.4	highland
Abergelle	18	Abergelle-1	18	2009	323	23.10	6	577.9	highland
Abergelle	18	Abergelle-1	18	2009	324	22.21	6	782.4	highland
Abergelle	18	Abergelle-1	18	2009	325	22.78	6	519.2	highland
Abergelle	18	Abergelle-1	18	2009	331	22.91	9	826.1	highland
Abergelle	18	Abergelle-1	18	2009	332	22.91	9	794.3	highland
Abergelle	18	Abergelle-1	18	2009	333	21.64	9	631.5	highland
Abergelle	18	Abergelle-1	18	2009	334	22.34	9	1138.1	highland
Abergelle	18	Abergelle-1	18	2009	335	20.36	9	962.9	highland
Abergelle	18	Abergelle-1	18	2009	341	22.53	12	667.4	highland
Abergelle	18	Abergelle-1	18	2009	342	23.48	12	976.2	highland
Abergelle	18	Abergelle-1	18	2009	343	23.23	12	356.3	highland
Abergelle	18	Abergelle-1	18	2009	344	21.13	12	1078.7	highland
Abergelle	18	Abergelle-1	18	2009	345	22.34	12	902.9	highland
Abergelle	18	Abergelle-1	18	2009	351	22.1	16	857.1	highland
Abergelle	18	Abergelle-1	18	2009	352	23.5	16	1396.1	highland
Abergelle	18	Abergelle-1	18	2009	353	22.5	16	752.3	highland
Abergelle	18	Abergelle-1	18	2009	354	22.2	16	978	highland
Abergelle	18	Abergelle-1	18	2009	355	21.7	16	974.7	highland
Abergelle	18	Abergelle-1	18	2009	361	22.3	3	219.2	highland
Abergelle	18	Abergelle-1	18	2009	362	21	3	260.5	highland
Abergelle	18	Abergelle-1	18	2009	363	21.5	3	481.7	highland
Abergelle	18	Abergelle-1	18	2009	364	23	3	350.8	highland
Abergelle	18	Abergelle-1	18	2009	365	21.2	3	216.4	highland
Abergelle	18	Abergelle-1	18	2009	421	27.9	6	579.5	highland
Abergelle	18	Abergelle-1	18	2009	422	27.2	6	468.2	highland
Abergelle	18	Abergelle-1	18	2009	423	28.5	6	932.3	highland
Abergelle	18	Abergelle-1	18	2009	424	27.3	6	521	highland
Abergelle	18	Abergelle-1	18	2009	425	28.4	6	1989.4	highland
Abergelle	18	Abergelle-1	18	2009	431	26.9	9	1580.7	highland
Abergelle	18	Abergelle-1	18	2009	432	26.7	9	847.5	highland
Abergelle	18	Abergelle-1	18	2009	433	26.5	9	975.5	highland
Abergelle	18	Abergelle-1	18	2009	434	26.8	9	1283	highland
Abergelle	18	Abergelle-1	18	2009	435	26.5	9	668.2	highland
Abergelle	18	Abergelle-1	18	2009	441	26.5	12	892.5	highland
Abergelle	18	Abergelle-1	18	2009	442	27.3	12	964.5	highland
Abergelle	18	Abergelle-1	18	2009	443	28.2	12	1036.5	highland
Abergelle	18	Abergelle-1	18	2009	444	26.5	12	703.9	highland
Abergelle	18	Abergelle-1	18	2009	445	27.1	12	157.9	highland
Abergelle	18	Abergelle-1	18	2009	451	27.2	16	1588.2	highland
Abergelle	18	Abergelle-1	18	2009	452	27.5	16	2139.1	highland
Abergelle	18	Abergelle-1	18	2009	453	29.5	16	1773.5	highland
Abergelle	18	Abergelle-1	18	2009	454	26.8	16	590.5	highland
Abergelle	18	Abergelle-1	18	2009	455	27.2	16	1313.6	highland
Abergelle	18	Abergelle-1	18	2009	461	27	3	331.1	highland
Abergelle	18	Abergelle-1	18	2009	462	28	3	220.1	highland
Abergelle	18	Abergelle-1	18	2009	463	26.5	3	189.9	highland
Abergelle	18	Abergelle-1	18	2009	464	26.5	3	279.3	highland
Abergelle	18	Abergelle-1	18	2009	465	27	3	376.5	highland
Abergelle	18	Abergelle-1	18	2009	521	32	6	1137.6	highland
Abergelle	18	Abergelle-1	18	2009	522	30.3	6	595	highland
Abergelle	18	Abergelle-1	18	2009	523	32.8	6	538.5	highland
Abergelle	18	Abergelle-1	18	2009	524	30.3	6	703.2	highland
Abergelle	18	Abergelle-1	18	2009	525	30.4	6	927.6	highland
Abergelle	18	Abergelle-1	18	2009	531	30.1	9	796.8	highland
Abergelle	18	Abergelle-1	18	2009	532	34.2	9	980.9	highland
Abergelle	18	Abergelle-1	18	2009	533	31.8	9	470.6	highland
Abergelle	18	Abergelle-1	18	2009	534	30.5	9	489.3	highland
Abergelle	18	Abergelle-1	18	2009	535	30	9	482.4	highland
Abergelle	18	Abergelle-1	18	2009	541	32.1	12	1093.2	highland
Abergelle	18	Abergelle-1	18	2009	542	31.5	12	857.1	highland
Abergelle	18	Abergelle-1	18	2009	543	32.2	12	950.3	highland
Abergelle	18	Abergelle-1	18	2009	544	30.5	12	2301.9	highland
Abergelle	18	Abergelle-1	18	2009	545	32.8	12	1158.3	highland
Abergelle	18	Abergelle-1	18	2009	551	35	16	2605.2	highland
Abergelle	18	Abergelle-1	18	2009	552	31.1	16	697.5	highland
Abergelle	18	Abergelle-1	18	2009	553	35.5	16	1451	highland
Abergelle	18	Abergelle-1	18	2009	554	30.9	16	776.8	highland
Abergelle	18	Abergelle-1	18	2009	555	30.5	16	1271.1	highland
Abergelle	18	Abergelle-1	18	2009	561	35.5	3	113.4	highland
Abergelle	18	Abergelle-1	18	2009	562	31	3	535.4	highland
Abergelle	18	Abergelle-1	18	2009	563	33.5	3	727.3	highland
Abergelle	18	Abergelle-1	18	2009	564	30.5	3	809.4	highland
Abergelle	18	Abergelle-1	18	2009	565	30.5	3	1426.9	highland
Abergelle	18	Abergelle-2	18	2009	121	14.3	6	132.4	highland
Abergelle	18	Abergelle-2	18	2009	122	14.2	6	269	highland
Abergelle	18	Abergelle-2	18	2009	123	12.7	6	273	highland
Abergelle	18	Abergelle-2	18	2009	124	14.5	6	450.4	highland
Abergelle	18	Abergelle-2	18	2009	125	12.6	6	240.7	highland
Abergelle	18	Abergelle-2	18	2009	131	14.1	9	218.7	highland
Abergelle	18	Abergelle-2	18	2009	132	12.7	9	323.5	highland
Abergelle	18	Abergelle-2	18	2009	133	13.2	9	72.4	highland
Abergelle	18	Abergelle-2	18	2009	134	13	9	249.1	highland
Abergelle	18	Abergelle-2	18	2009	135	13.5	9	113.9	highland
Abergelle	18	Abergelle-2	18	2009	141	14.5	12	265.3	highland
Abergelle	18	Abergelle-2	18	2009	142	14	12	504.6	highland
Abergelle	18	Abergelle-2	18	2009	143	14	12	558.2	highland
Abergelle	18	Abergelle-2	18	2009	144	14.5	12	341.2	highland
Abergelle	18	Abergelle-2	18	2009	145	14	12	576.4	highland
Abergelle	18	Abergelle-2	18	2009	151	12.5	16	563.5	highland
Abergelle	18	Abergelle-2	18	2009	152	14.2	16	338.2	highland
Abergelle	18	Abergelle-2	18	2009	153	14.5	16	542.9	highland
Abergelle	18	Abergelle-2	18	2009	154	13	16	127	highland
Abergelle	18	Abergelle-2	18	2009	155	12.5	16	490.5	highland
Abergelle	18	Abergelle-2	18	2009	161	12	3	332.2	highland
Abergelle	18	Abergelle-2	18	2009	162	14	3	129.1	highland
Abergelle	18	Abergelle-2	18	2009	163	12.5	3	618.8	highland
Abergelle	18	Abergelle-2	18	2009	164	14.5	3	236.9	highland
Abergelle	18	Abergelle-2	18	2009	165	14	3	397	highland
Abergelle	18	Abergelle-2	18	2009	221	18.3	6	661.3	highland
Abergelle	18	Abergelle-2	18	2009	222	18.1	6	285.1	highland
Abergelle	18	Abergelle-2	18	2009	223	17.8	6	850.6	highland
Abergelle	18	Abergelle-2	18	2009	224	18.5	6	446.5	highland
Abergelle	18	Abergelle-2	18	2009	225	16.8	6	472.4	highland
Abergelle	18	Abergelle-2	18	2009	231	16.5	9	662.8	highland
Abergelle	18	Abergelle-2	18	2009	232	17.2	9	366.4	highland
Abergelle	18	Abergelle-2	18	2009	233	17	9	386.6	highland
Abergelle	18	Abergelle-2	18	2009	234	17.7	9	700.2	highland
Abergelle	18	Abergelle-2	18	2009	235	18.5	9	420.8	highland
Abergelle	18	Abergelle-2	18	2009	241	17.7	12	1356.5	highland
Abergelle	18	Abergelle-2	18	2009	242	17.2	12	554.5	highland
Abergelle	18	Abergelle-2	18	2009	243	17.5	12	1381.8	highland
Abergelle	18	Abergelle-2	18	2009	244	16.9	12	319.6	highland
Abergelle	18	Abergelle-2	18	2009	245	16.8	12	1345	highland
Abergelle	18	Abergelle-2	18	2009	251	18.4	16	199.9	highland
Abergelle	18	Abergelle-2	18	2009	252	17.7	16	503.3	highland
Abergelle	18	Abergelle-2	18	2009	253	16.7	16	335.1	highland
Abergelle	18	Abergelle-2	18	2009	254	17.6	16	508.2	highland
Abergelle	18	Abergelle-2	18	2009	255	16.8	16	707.8	highland
Abergelle	18	Abergelle-2	18	2009	261	18	3	386.5	highland
Abergelle	18	Abergelle-2	18	2009	262	17	3	367.6	highland
Abergelle	18	Abergelle-2	18	2009	263	15	3	355.5	highland
Abergelle	18	Abergelle-2	18	2009	264	16.5	3	249.2	highland
Abergelle	18	Abergelle-2	18	2009	265	17.8	3	607.9	highland
Abergelle	18	Abergelle-2	18	2009	321	23.5	6	260.8	highland
Abergelle	18	Abergelle-2	18	2009	322	23.5	6	887.2	highland
Abergelle	18	Abergelle-2	18	2009	323	21.5	6	334	highland
Abergelle	18	Abergelle-2	18	2009	324	23	6	731.1	highland
Abergelle	18	Abergelle-2	18	2009	325	22.7	6	1161.8	highland
Abergelle	18	Abergelle-2	18	2009	331	23	9	856.9	highland
Abergelle	18	Abergelle-2	18	2009	332	21.5	9	893.5	highland
Abergelle	18	Abergelle-2	18	2009	333	22.5	9	963.5	highland
Abergelle	18	Abergelle-2	18	2009	334	23.5	9	1348.3	highland
Abergelle	18	Abergelle-2	18	2009	335	21.5	9	1172.1	highland
Abergelle	18	Abergelle-2	18	2009	341	23.5	12	1431.2	highland
Abergelle	18	Abergelle-2	18	2009	342	22.7	12	1130	highland
Abergelle	18	Abergelle-2	18	2009	343	21.8	12	1047.8	highland
Abergelle	18	Abergelle-2	18	2009	344	23.5	12	1601.1	highland
Abergelle	18	Abergelle-2	18	2009	345	21.8	12	1842.2	highland
Abergelle	18	Abergelle-2	18	2009	351	22.9	16	924.3	highland
